num_one,num_two,num_three,disc_one,disc_two,disc_three,label_sitting
1.000371,0.007671,-0.016173,0,1,0,nan
1.000243,0.003782,-0.002713,0,0,1,nan
1.000811,0.002082,-0.001922,0,0,1,nan
1.001245,0.004715,-0.002895,1,0,0,nan
1.001354,0.065186,-0.09652,0,1,0,1
1.002472,0.067833,0.164222,1,0,0,1
1.00182,0.002009,-0.001022,1,0,0,1
1.001889,0.001781,0.00063,0,0,1,1
1.004284,0.105347,0.163315,0,0,1,1
1.001456,0.003742,-0.004386,0,0,1,1
1.001763,0.004617,0.011668,1,0,0,1
1.001567,0.003635,-0.005965,1,0,0,1
1.00152,0.002083,-0.001629,1,0,0,1
1.001605,0.004616,0.011269,1,0,0,1
1.001634,0.006569,0.014661,1,0,0,1
1.001592,0.003042,0.002779,1,0,0,1
1.001094,0.020674,0.021128,0,0,1,1
1.000216,0.022545,-0.014617,1,0,0,1
1.000226,0.007143,-0.003929,1,0,0,1
1.001728,0.002503,-0.002441,1,0,0,1
1.002454,0.009605,-0.009737,1,0,0,1
1.001582,0.002944,-0.005875,1,0,0,1
1.003219,0.057957,0.074425,1,0,0,1
1.001688,0.002387,-0.001794,0,0,1,1
1.000905,0.03363,0.03872,0,0,1,1
1.001757,0.027619,0.022364,0,0,1,1
1.00296,0.05517,0.071434,0,0,1,1
1.002135,0.0097,0.019741,0,0,1,1
1.004699,0.112524,0.106128,0,0,1,0
1.015839,0.244059,0.191805,0,0,1,0
1.00696,0.200282,0.12444,0,0,1,0
1.010325,0.193742,0.103025,0,0,1,0
1.006267,0.158816,0.126644,0,0,1,0
1.012507,0.191001,0.139696,0,0,1,0
1.110028,0.272901,0.302624,1,0,0,0
1.037577,0.306034,0.327136,0,0,1,0
0.997373,0.074159,0.118797,0,0,1,0
0.995725,0.036631,0.07613,0,0,1,0
0.995317,0.030093,0.040139,0,0,1,0
0.995323,0.059074,0.106621,0,0,1,0
1.003291,0.080229,0.129223,0,0,1,0
1.011587,0.15184,0.372901,0,0,1,0
1.004124,0.049975,0.014989,0,0,1,0
1.007438,0.093735,0.129343,0,0,1,0
1.00226,0.033517,0.047989,1,0,0,0
1.001795,0.062686,-0.085144,1,0,0,1
1.001851,0.063345,0.060773,0,0,1,1
1.001495,0.014997,-0.029383,0,0,1,1
1.004461,0.07516,0.092139,0,0,1,1
1.000387,0.004622,-0.00988,0,0,1,1
1.001577,0.005739,0.010394,0,0,1,1
1.00084,0.004742,0.007218,0,0,1,1
1.001057,0.008902,0.013509,0,0,1,1
1.000688,0.00348,-0.003345,0,0,1,1
1.000895,0.010141,0.023197,0,0,1,1
1.00068,0.00577,-0.010301,0,0,1,1
1.001166,0.006339,0.015106,0,0,1,1
1.001111,0.005751,0.012866,0,0,1,1
1.001075,0.008549,-0.007486,0,0,1,1
1.000813,0.004935,-0.006629,0,0,1,1
1.001065,0.005074,0.009691,0,0,1,1
1.000749,0.012287,-0.015949,0,0,1,1
1.006546,0.046077,0.09465,0,0,1,1
1.001148,0.034936,0.037556,1,0,0,1
1.016589,0.177677,0.228818,0,0,1,nan
1.035554,0.276653,0.30022,0,0,1,0
1.029551,0.258738,0.293305,0,0,1,0
1.030999,0.276585,0.32881,0,0,1,0
1.048943,0.323201,0.317669,0,0,1,0
1.014482,0.140377,0.14076,0,0,1,0
1.001688,0.003424,0.004317,0,0,1,1
1.001561,0.002782,0.004585,0,0,1,1
1.001572,0.00709,0.007715,0,0,1,1
1.001358,0.008502,0.01225,0,0,1,1
1.001144,0.017607,-0.017347,0,0,1,1
1.001506,0.005169,-0.005557,0,0,1,1
1.00158,0.009629,0.024952,0,0,1,1
1.001233,0.004049,0.010191,0,0,1,1
1.001129,0.002375,0.002834,0,0,1,1
1.001317,0.001928,0.001745,0,0,1,1
1.001144,0.001895,0.002985,0,0,1,1
1.001107,0.010647,-0.018472,0,0,1,1
1.001011,0.001214,-0.000909,0,0,1,1
1.001069,0.0011,-0.000484,0,0,1,1
1.001024,0.001552,0.000986,0,0,1,1
1.000934,0.002607,-0.003585,0,0,1,1
1.001056,0.001775,0.00222,0,0,1,1
1.001007,0.001546,0.00069,0,0,1,1
1.00064,0.001539,0.00069,0,0,1,1
1.002371,0.068273,0.088259,0,0,1,1
1.001527,0.001451,0.001297,0,0,1,1
1.001537,0.002244,0.000757,0,0,1,1
1.001364,0.002455,-0.002479,0,0,1,1
1.001471,0.002524,0.003134,0,0,1,1
1.001369,0.001203,-0.001235,0,0,1,1
1.001407,0.000991,-0.000487,0,0,1,1
1.002915,0.011682,0.02418,0,0,1,1
1.000901,0.007442,-0.017642,0,0,1,1
1.001365,0.002984,0.003417,0,0,1,1
1.001248,0.00379,-0.009166,0,0,1,1
1.009748,0.125264,0.20551,0,0,1,1
1.001143,0.003143,-0.006945,0,0,1,1
1.00175,0.008502,0.015025,0,0,1,1
1.001166,0.0035,-0.00524,0,0,1,1
1.006237,0.073309,0.137096,0,0,1,1
1.001163,0.008908,0.005755,1,0,0,1
1.004901,0.064228,0.071091,1,0,0,1
1.001501,0.001276,-0.000612,0,0,1,1
1.00129,0.001173,-0.000752,0,0,1,1
1.001458,0.004814,0.012959,0,0,1,1
1.001223,0.001367,-0.001839,0,0,1,1
1.001033,0.001083,0.000578,0,0,1,1
1.001053,0.001418,0.001482,0,0,1,1
1.001036,0.002284,0.004923,0,0,1,1
1.000988,0.001068,0.000414,0,0,1,1
1.001052,0.004711,-0.003438,0,0,1,1
1.000925,0.001002,-0.000552,0,0,1,1
1.000881,0.001149,-0.001001,0,0,1,1
1.000717,0.001336,0.0008,0,0,1,1
1.00075,0.004979,-0.013782,0,0,1,1
1.000891,0.001381,0.002079,0,0,1,1
1.000803,0.001588,0.002186,0,0,1,1
1.000957,0.00126,0.001132,0,0,1,1
1.000992,0.001069,0.000966,0,0,1,1
1.000983,0.001473,0.00157,0,0,1,1
1.00097,0.001038,0.000504,0,0,1,1
1.000895,0.001086,-0.000439,0,0,1,1
1.000863,0.001026,0.000593,0,0,1,1
1.000901,0.00178,-0.003516,0,0,1,1
1.001078,0.002633,0.003806,0,0,1,1
1.001101,0.00249,0.005379,0,0,1,1
1.000939,0.001753,-0.003571,0,0,1,1
1.001008,0.001028,-0.000667,0,0,1,1
1.000822,0.001695,-0.002872,0,0,1,1
1.00086,0.00157,-0.002482,0,0,1,1
1.001062,0.00122,0.000766,0,0,1,1
1.000892,0.001115,-0.000673,0,0,1,1
0.999328,0.008658,0.007402,0,0,1,1
0.999211,0.03831,-0.016108,0,0,1,1
1.001863,0.001461,0.001971,0,0,1,1
1.001686,0.001092,0.000743,0,0,1,1
1.001639,0.002015,0.003727,0,0,1,1
1.001465,0.001151,0.00059,0,0,1,1
1.001482,0.001074,0.001067,0,0,1,1
1.001409,0.00114,0.000608,0,0,1,1
1.001519,0.001934,0.003258,0,0,1,1
1.001588,0.001426,0.00124,0,0,1,1
1.00161,0.031332,0.031249,1,0,0,1
1.004252,0.061293,0.105029,1,0,0,1
1.001801,0.001656,0.001317,0,0,1,1
1.001898,0.003568,0.005646,0,0,1,1
1.001706,0.002465,0.003292,0,0,1,1
1.001616,0.001824,0.002337,0,0,1,1
1.001589,0.001507,-0.001457,0,0,1,1
1.00156,0.002519,-0.00392,0,0,1,1
1.00158,0.001988,-0.002026,0,0,1,1
1.001846,0.003199,0.005793,0,0,1,1
1.001675,0.001372,0.0009,0,0,1,1
1.00159,0.001733,0.000844,0,0,1,1
1.001302,0.00655,-0.016905,0,0,1,1
1.001489,0.053828,0.048445,0,0,1,1
1.002202,0.044848,0.054997,0,0,1,1
1.001142,0.001779,-0.003175,0,0,1,1
0.999387,0.012695,0.007171,0,0,1,1
1.002455,0.106656,0.154629,0,0,1,1
1.001932,0.001602,-0.002099,0,0,1,1
1.001769,0.001118,-0.00038,0,0,1,1
1.001767,0.001492,0.001794,0,0,1,1
1.001652,0.001106,-0.000316,0,0,1,1
1.001671,0.001075,0.00039,0,0,1,1
1.001595,0.001059,0.000319,0,0,1,1
1.001598,0.001021,0.000541,0,0,1,1
1.00153,0.002378,-0.005102,0,0,1,1
1.001613,0.001996,0.004032,0,0,1,1
1.001463,0.002884,-0.005214,0,0,1,1
1.001734,0.001318,0.001811,0,0,1,1
1.00158,0.001142,-0.001215,0,0,1,1
1.001497,0.001185,-0.000959,0,0,1,1
1.001126,0.001385,-0.000523,0,0,1,1
1.001669,0.001312,0.001012,0,0,1,0
1.001567,0.001137,-0.000621,0,0,1,0
1.009318,0.080639,0.126043,0,0,1,0
1.001586,0.002226,0.001894,0,0,1,0
1.001609,0.001008,-0.000575,0,0,1,0
1.001522,0.001552,-0.002496,0,0,1,0
1.001568,0.001111,-0.000735,0,0,1,0
1.001559,0.001096,-0.000379,0,0,1,0
1.001095,0.003393,-0.005274,0,0,1,0
1.001645,0.004613,0.011976,0,0,1,0
1.041643,0.226021,0.223384,0,0,1,0
1.042902,0.2453,0.220626,0,0,1,0
1.034996,0.22347,0.2489,0,0,1,0
1.033074,0.224333,0.229339,0,0,1,0
1.089565,0.192115,-0.050625,0,0,1,0
1.002387,0.081344,0.11443,0,0,1,0
1.001912,0.018984,0.012777,1,0,0,0
0.997126,0.033705,0.041107,0,0,1,0
0.995582,0.019607,0.026369,0,0,1,0
0.999596,0.02859,-0.039285,0,0,1,0
1.003606,0.078728,0.104439,0,0,1,0
1.002401,0.029001,0.037035,0,0,1,0
1.002107,0.029506,0.038774,1,0,0,0
0.996833,0.041741,0.06242,0,0,1,0
0.994864,0.013914,-0.011706,0,0,1,0
0.995179,0.026044,0.023524,0,0,1,0
0.996127,0.029039,0.02395,0,0,1,0
0.995616,0.018129,-0.004158,0,0,1,0
1.002213,0.049485,0.02028,0,0,1,0
1.009062,0.106492,0.134832,0,0,1,1
0.9996,0.042172,-0.034347,0,0,1,1
1.00083,0.02683,0.02684,0,0,1,1
1.004367,0.114634,0.123917,0,0,1,1
1.013465,0.141397,0.185565,0,0,1,1
1.013257,0.144681,0.159365,0,0,1,1
1.030072,0.247538,0.233655,0,0,1,1
1.045186,0.304079,0.285212,0,0,1,1
1.050166,0.283849,0.312465,0,0,1,1
1.043389,0.266549,0.3004,0,0,1,1
1.001929,0.094084,-0.141074,0,0,1,1
1.000198,0.061956,-0.070171,0,0,1,1
1.00225,0.039102,0.069812,0,0,1,1
0.999659,0.061175,-0.098386,0,0,1,1
1.00297,0.032868,0.032149,0,0,1,1
1.002724,0.026487,-0.020821,0,0,1,1
1.00169,0.039305,0.04486,0,0,1,1
1.001943,0.012366,0.004553,1,0,0,0
1.012985,0.144942,0.245719,1,0,0,1
1.001977,0.021533,-0.029202,0,0,1,1
1.002722,0.065361,0.072413,0,0,1,1
1.00165,0.024573,-0.018474,0,0,1,1
1.001603,0.014485,0.015188,0,0,1,1
1.000504,0.04785,0.057605,0,0,1,1
0.998052,0.008858,0.007177,0,0,1,1
1.004043,0.077399,0.11947,0,0,1,1
1.002963,0.065035,0.061354,0,0,1,1
1.002038,0.001042,0.000641,0,0,1,1
1.001818,0.001325,-0.00132,0,0,1,1
1.001668,0.001489,0.000454,0,0,1,1
1.001584,0.001114,0.000492,0,0,1,1
1.001449,0.001116,0.000735,0,0,1,1
1.001355,0.001143,-0.000636,0,0,1,1
1.001272,0.001117,-0.000435,0,0,1,1
1.001282,0.001015,0.000466,0,0,1,1
1.001241,0.001086,0.000567,0,0,1,1
1.001228,0.001176,0.000746,0,0,1,1
1.001065,0.002745,0.002355,0,0,1,1
1.001155,0.001635,-0.000854,0,0,1,1
1.000921,0.068984,-0.062735,1,0,0,1
1.000285,0.052536,0.058557,0,0,1,1
1.001264,0.003582,0.004576,0,0,1,1
1.001236,0.001915,0.00317,0,0,1,1
1.001256,0.001335,0.001491,0,0,1,1
1.001248,0.001268,-0.000817,0,0,1,1
1.001274,0.001226,0.000887,0,0,1,1
1.001164,0.001168,0.000766,0,0,1,1
1.001151,0.001374,0.001091,0,0,1,1
1.001252,0.001165,0.000855,0,0,1,1
1.001233,0.001055,-0.000406,0,0,1,1
1.001233,0.001896,0.002792,0,0,1,1
1.001105,0.001057,-0.000619,0,0,1,1
1.00119,0.00352,0.007086,0,0,1,1
1.001199,0.001178,-0.000391,0,0,1,1
1.001138,0.001348,0.000963,0,0,1,1
1.001112,0.001597,0.002266,0,0,1,1
1.006486,0.088956,0.154559,0,0,1,1
0.996505,0.013206,-0.010976,1,0,0,1
0.999216,0.025752,0.026464,0,0,1,1
1.000518,0.021827,-0.019205,0,0,1,1
1.000096,0.001463,0.00147,0,0,1,1
0.999793,0.001204,-0.000718,0,0,1,1
0.99979,0.001439,0.001333,0,0,1,1
0.999787,0.001419,-0.000592,0,0,1,1
0.999637,0.001335,-0.001042,0,0,1,1
0.999681,0.001702,0.001995,0,0,1,1
0.999818,0.038622,0.058832,0,0,1,1
0.999842,0.001338,-0.000276,0,0,1,1
0.999651,0.001079,-0.000618,0,0,1,1
0.999727,0.001206,-0.00058,0,0,1,1
0.999875,0.0011,0.000344,0,0,1,1
1.014827,0.126973,0.223631,0,0,1,1
1.003769,0.143071,0.383125,0,0,1,1
1.000199,0.001186,-0.000708,0,0,1,1
1.000068,0.002793,-0.002488,0,0,1,1
1.000051,0.001662,-0.00153,0,0,1,1
1.00015,0.001022,-0.000262,0,0,1,1
1.007761,0.144683,0.24127,0,0,1,1
0.999739,0.002198,-0.000813,0,0,1,1
0.999675,0.002382,0.000457,0,0,1,1
0.999497,0.001816,0.001192,0,0,1,1
0.99955,0.002969,0.002178,0,0,1,1
0.99948,0.001584,-0.000995,0,0,1,1
0.999489,0.002442,0.000764,0,0,1,1
0.999534,0.002168,0.001192,0,0,1,1
0.999344,0.002036,-0.000883,0,0,1,1
0.999383,0.001327,-0.000763,0,0,1,1
0.999487,0.009253,0.016277,0,0,1,1
0.999295,0.003593,-0.007595,0,0,1,1
0.99938,0.001688,-0.001154,0,0,1,1
0.999432,0.002108,-0.000843,0,0,1,1
0.999336,0.002211,0.00273,0,0,1,1
0.999275,0.002162,0.001838,0,0,1,1
0.999303,0.001865,0.001042,0,0,1,1
0.999457,0.002077,0.001206,0,0,1,1
1.001579,0.03946,-0.030747,0,0,1,1
1.001096,0.021353,0.01022,0,0,1,1
1.001032,0.001953,-0.001895,0,0,1,1
1.000834,0.001633,-0.001832,0,0,1,1
1.001066,0.002459,0.004553,0,0,1,1
1.000942,0.001718,-0.000367,0,0,1,1
1.001054,0.001341,0.001101,0,0,1,1
1.000972,0.001266,0.000611,0,0,1,1
1.000918,0.001587,0.001198,0,0,1,1
1.00095,0.00256,0.003285,0,0,1,1
1.00093,0.001853,0.00178,0,0,1,1
1.001104,0.001211,0.000622,0,0,1,1
1.000991,0.001803,0.002092,0,0,1,1
1.000986,0.001287,-0.000879,0,0,1,1
1.001303,0.001202,-0.000512,0,0,1,1
1.001204,0.001398,0.000701,0,0,1,1
1.001239,0.001096,-0.000562,0,0,1,1
1.001272,0.001207,0.000276,0,0,1,1
1.00129,0.002116,0.002742,0,0,1,1
1.001326,0.002485,0.003065,0,0,1,1
1.00413,0.065218,0.062995,1,0,0,1
1.002191,0.001488,-0.001206,0,0,1,1
0.99905,0.02331,-0.015958,0,0,1,1
1.000582,0.001459,-0.000505,0,0,1,1
0.998886,0.06895,0.079041,0,0,1,1
0.996156,0.024303,0.047023,0,0,1,1
0.999211,0.034741,0.055131,0,0,1,1
0.999678,0.004063,0.004864,0,0,1,1
0.999778,0.001694,-0.001094,0,0,1,1
1.002013,0.040905,0.027928,0,0,1,1
0.995629,0.013058,-0.007198,0,0,1,1
1.001344,0.001104,0.000457,0,0,1,1
0.999593,0.016155,0.018276,0,0,1,1
1.000482,0.041175,0.047911,0,0,1,1
1.000261,0.044133,0.045172,0,0,1,1
0.997936,0.017233,0.018598,0,0,1,1
1.001752,0.005725,-0.003552,0,0,1,1
1.001751,0.001885,-0.001507,0,0,1,1
1.001832,0.00332,0.002297,0,0,1,1
1.001986,0.002373,0.001075,0,0,1,1
1.000425,0.003825,0.002586,0,0,1,1
1.000751,0.005706,0.005859,0,0,1,1
1.004204,0.007601,-0.004935,0,0,1,1
1.00417,0.028088,0.034835,0,0,1,1
1.000059,0.001668,-0.000944,0,0,1,1
0.999782,0.002278,0.001147,0,0,1,1
0.999625,0.002654,-0.001547,0,0,1,1
0.99938,0.00216,0.000279,0,0,1,1
1.001293,0.027007,0.065478,0,0,1,1
0.999466,0.001186,-0.000509,0,0,1,1
0.999856,0.001339,0.001123,0,0,1,1
0.999708,0.003669,-0.002936,0,0,1,1
0.99959,0.004556,-0.005951,0,0,1,1
0.999638,0.005084,-0.002152,0,0,1,1
0.999912,0.001607,0.001334,0,0,1,1
0.999623,0.00239,-0.00467,0,0,1,1
1.003949,0.067201,0.14264,0,0,1,1
1.000055,0.00155,-0.000861,0,0,1,1
1.000017,0.001402,-0.001509,0,0,1,1
1.001196,0.064167,0.067014,0,0,1,1
1.001006,0.00225,-0.001913,0,0,1,1
1.01052,0.105414,0.168887,0,0,1,1
1.000841,0.010667,-0.008735,0,0,1,1
1.000205,0.068822,0.1478,0,0,1,1
1.002167,0.09455,0.14091,0,0,1,1
1.000751,0.001214,-0.000491,0,0,1,1
1.000486,0.013822,0.008745,0,0,1,1
1.000839,0.01497,0.007227,0,0,1,1
1.000599,0.009436,-0.009639,0,0,1,1
1.001488,0.058439,0.06809,0,0,1,1
1.001174,0.003087,-0.006431,0,0,1,1
1.001268,0.001474,-0.000939,0,0,1,1
1.001212,0.001537,-0.00124,0,0,1,1
1.001224,0.001539,0.001585,0,0,1,1
1.001168,0.001195,0.000392,0,0,1,1
1.000948,0.001309,0.001081,0,0,1,1
1.001148,0.001181,0.000188,0,0,1,1
1.001066,0.001234,0.001542,0,0,1,1
1.001169,0.001598,0.002342,0,0,1,1
1.001095,0.001044,-0.000908,0,0,1,1
1.001105,0.001253,-0.000751,0,0,1,1
1.001094,0.001182,0.000865,0,0,1,1
1.001041,0.001252,0.000562,0,0,1,1
1.001078,0.001226,-0.001517,0,0,1,1
1.001089,0.001077,-0.000058,0,0,1,1
1.001057,0.001001,-0.000485,0,0,1,1
1.000947,0.001329,0.00191,0,0,1,1
1.000962,0.001599,-0.001953,0,0,1,1
1.000952,0.001196,-0.000765,0,0,1,1
1.000963,0.001082,-0.000213,0,0,1,1
1.001063,0.001556,-0.000995,0,0,1,1
1.000955,0.001355,0.001598,0,0,1,1
1.001079,0.001167,0.000814,0,0,1,1
1.000898,0.0012,0.000939,0,0,1,1
1.001023,0.001055,0.000492,0,0,1,1
1.000925,0.001081,-0.000601,0,0,1,1
1.001008,0.001124,-0.000567,0,0,1,1
1.00105,0.001021,-0.000587,0,0,1,1
1.001052,0.001081,-0.000398,0,0,1,1
1.000189,0.01936,-0.027766,0,0,1,1
1.000289,0.001102,-0.00069,0,0,1,1
1.007426,0.069531,0.127664,0,0,1,1
1.000104,0.027324,-0.014081,0,0,1,0
0.996686,0.017477,-0.013707,0,0,1,0
1.004677,0.065917,0.12552,0,0,1,0
1.00191,0.00135,-0.001634,0,0,1,0
1.001689,0.001406,-0.001777,0,0,1,0
1.001773,0.001654,-0.00202,0,0,1,0
1.002808,0.055595,0.054351,0,0,1,0
1.011285,0.143277,0.275274,0,0,1,0
1.001425,0.001478,0.001593,0,0,1,0
1.000976,0.001749,-0.001142,0,0,1,0
1.001348,0.001825,0.001426,0,0,1,0
1.001128,0.001403,0.000679,0,0,1,0
1.00109,0.010853,0.027854,0,0,1,0
1.000753,0.001259,0.000862,0,0,1,0
1.000721,0.001471,-0.001019,0,0,1,0
1.000719,0.0015,-0.002209,0,0,1,0
1.002961,0.045235,0.068341,0,0,1,0
1.00376,0.079633,0.105225,0,0,1,0
1.001441,0.001282,-0.000303,0,0,1,0
1.003754,0.068049,0.063809,0,0,1,0
0.999709,0.001072,0.000297,0,0,1,0
0.999727,0.012142,0.025015,0,0,1,0
1.011821,0.184134,0.257766,0,0,1,0
1.010579,0.121351,0.196814,0,0,1,0
1.009511,0.096004,0.147412,0,0,1,0
1.0367,0.226837,0.258752,0,0,1,0
1.002598,0.003171,0.005907,0,0,1,0
1.013268,0.098386,0.145656,0,0,1,0
1.00627,0.132067,0.107518,0,0,1,0
0.99556,0.096498,0.130678,0,0,1,0
1.048986,0.345182,0.321689,0,0,1,0
1.039073,0.343503,0.270299,0,0,1,0
1.026187,0.307958,0.290737,0,0,1,0
1.034167,0.30836,0.254425,0,0,1,0
1.05511,0.346557,0.360812,0,0,1,0
1.095651,0.577699,0.66771,0,0,1,0
1.0067,0.133319,0.179066,0,0,1,0
1.005744,0.133076,0.130538,0,0,1,0
1.048766,0.234774,0.282334,0,0,1,0
1.00652,0.149158,0.216093,0,0,1,0
1.020418,0.157092,0.177412,0,0,1,0
1.005437,0.110351,0.098709,0,0,1,0
0.997489,0.02159,0.020887,0,0,1,0
1.009247,0.101255,0.124162,0,0,1,0
1.021877,0.174773,0.224244,0,0,1,0
1.003424,0.040987,0.033211,0,0,1,1
1.002298,0.003496,-0.003949,0,0,1,1
1.002404,0.00746,0.009867,0,0,1,1
1.00211,0.002021,0.001663,0,0,1,1
1.002031,0.074271,0.038229,0,0,1,1
1.001323,0.002807,-0.001785,0,0,1,1
1.000882,0.058654,0.055679,0,0,1,1
1.000434,0.014616,-0.015474,1,0,0,1
0.998211,0.035232,0.040074,0,0,1,0
0.99895,0.002646,-0.00125,0,0,1,0
0.998886,0.002305,0.001154,0,0,1,0
0.998581,0.009926,0.009967,0,0,1,0
0.998586,0.011534,-0.01705,0,0,1,0
0.998816,0.003908,0.002436,0,0,1,0
1.000134,0.01755,-0.007648,0,0,1,0
1.002728,0.036513,0.062968,0,0,1,0
0.996945,0.075779,-0.105009,0,0,1,0
1.002879,0.120618,0.263054,0,0,1,0
1.001463,0.072844,0.110514,0,0,1,0
0.995383,0.006371,0.010845,0,0,1,0
0.996147,0.011351,0.022134,0,0,1,0
0.99492,0.002319,-0.000871,0,0,1,0
0.994935,0.002164,-0.001138,0,0,1,0
0.994814,0.002075,0.001536,0,0,1,0
0.99497,0.002111,-0.001151,0,0,1,0
0.994932,0.001759,-0.00091,0,0,1,0
0.994749,0.001806,-0.000825,0,0,1,0
0.99481,0.002006,-0.000736,0,0,1,0
0.994702,0.001956,-0.001071,0,0,1,0
1.012011,0.153727,0.236178,0,0,1,0
1.021325,0.185695,0.196184,0,0,1,0
1.02808,0.264055,0.283248,0,0,1,0
1.036151,0.358745,0.351086,0,0,1,0
1.024202,0.301989,0.281187,0,0,1,0
1.025166,0.267573,0.212825,0,0,1,0
1.040908,0.397715,0.387272,0,0,1,0
1.033886,0.327437,0.333975,0,0,1,0
1.027382,0.298174,0.214069,0,0,1,0
1.039113,0.302524,0.232621,0,0,1,0
1.04219,0.357272,0.385015,0,0,1,0
1.035581,0.378385,0.388657,0,0,1,0
1.038635,0.483938,0.591901,0,0,1,0
1.013504,0.114587,0.134307,0,0,1,0
1.029492,0.206668,0.223298,0,0,1,0
1.009807,0.105311,0.141683,0,0,1,0
1.008837,0.193619,0.287002,0,0,1,0
0.998608,0.000992,-0.000641,0,0,1,0
1.007057,0.136969,0.237406,0,0,1,0
1.000511,0.013429,-0.009413,1,0,0,0
1.003626,0.11173,0.229625,0,0,1,0
0.998743,0.001651,-0.000777,0,0,1,0
0.998873,0.003709,0.005314,0,0,1,0
1.004555,0.094834,0.094551,0,0,1,0
1.025319,0.185757,0.172527,0,0,1,0
1.042854,0.386894,0.452618,0,0,1,0
1.014725,0.248299,0.287429,0,0,1,0
1.038321,0.30699,0.315777,0,0,1,0
1.018063,0.24467,0.299623,0,0,1,0
1.033814,0.222127,0.231454,0,0,1,0
1.03105,0.206635,0.266643,0,0,1,0
0.998966,0.001375,-0.000883,0,0,1,0
0.998641,0.001328,0.002357,0,0,1,0
1.001818,0.030171,0.024578,0,0,1,1
1.001713,0.028939,0.023573,0,0,1,1
0.998932,0.00121,0.000759,0,0,1,1
1.001213,0.044837,0.036496,1,0,0,1
1.001996,0.068041,0.08611,1,0,0,1
0.999469,0.001612,0.001342,0,0,1,1
1.002422,0.000946,-0.000457,0,0,1,1
1.002099,0.000935,-0.000354,0,0,1,1
1.001817,0.000976,-0.000409,0,0,1,1
1.001713,0.00102,-0.00061,0,0,1,1
1.001446,0.000982,0.000411,1,0,0,1
1.001551,0.000956,0.000523,0,0,1,1
1.001476,0.001188,-0.000787,0,0,1,1
1.001419,0.000998,-0.000542,0,0,1,1
1.001356,0.000989,-0.00039,0,0,1,1
1.001343,0.000957,0.000388,0,0,1,1
1.001288,0.000962,0.000426,0,0,1,1
1.001359,0.000958,0.000324,0,0,1,1
1.001256,0.000967,-0.000338,0,0,1,1
1.001462,0.000933,0.000205,0,0,1,1
1.001415,0.000988,-0.000278,0,0,1,1
1.001327,0.000991,-0.000788,0,0,1,1
1.001434,0.000963,0.000364,0,0,1,1
1.001376,0.00092,-0.000206,0,0,1,1
1.001341,0.001044,-0.000353,0,0,1,1
1.001352,0.000946,-0.000412,0,0,1,1
1.001322,0.001014,0.000304,0,0,1,1
1.0011,0.001019,-0.000543,0,0,1,1
1.001381,0.000951,0.000267,0,0,1,1
1.001279,0.000969,0.000296,0,0,1,1
1.001355,0.000961,-0.000434,0,0,1,1
1.001277,0.001099,0.000332,0,0,1,1
1.00126,0.000933,0.000289,0,0,1,1
1.00133,0.000985,-0.000519,0,0,1,1
1.001384,0.00096,-0.00052,0,0,1,1
1.001302,0.000926,-0.000407,0,0,1,1
1.001218,0.000905,-0.00046,0,0,1,1
1.00124,0.001037,-0.001041,0,0,1,1
1.002299,0.05571,0.064212,0,0,1,1
1.001185,0.00107,-0.000926,0,0,1,1
1.001208,0.001073,0.000972,0,0,1,1
1.001245,0.000938,-0.000503,0,0,1,1
1.001244,0.000985,0.000498,0,0,1,1
1.001149,0.00098,-0.000449,0,0,1,1
1.001209,0.000944,-0.000446,0,0,1,1
1.001178,0.000941,-0.000258,0,0,1,1
1.004095,0.089709,0.172935,0,0,1,1
1.001106,0.000952,0.000233,0,0,1,1
1.001076,0.000948,0.000175,0,0,1,1
1.001111,0.000946,0.000291,0,0,1,1
