index,f_acc_p25,f_acc_p50,f_acc_p75,f_acc_vEnt,f_acc_tEnt,f_acc_acPer,f_acc_accNor,f_gyr_mean,f_gyr_std,f_gyr_p25,f_gyr_p50,f_gyr_p75,f_gyr_vEnt,f_gyr_acPer,f_gyr_acNor,f_loc_latStd,f_loc_longStd,f_loc_latChg,f_loc_longChg,f_loc_latAbsDv,f_loc_longAbsDv,f_aud_AbsMax,b_appSt_Act,b_appSt_InAct,b_appSt_Bkg,b_appSt_Miss,b_battPlg_Ac,b_battPlg_Usb,b_battPlg_Wrls,b_battPlg_Miss,b_battSt_Unk,b_battSt_Unplg,b_battSt_NtChrg,b_battSt_DsChrg,b_battSt_Chrg,b_battSt_Full,b_battSt_Miss,b_onPhn_F,b_onPhn_T,b_onPhn_Miss,b_ringMd_Norm,b_ringMd_silNV,b_ringMd_silV,b_ringMd_Miss,b_wifiSt_nr,b_wifiSt_rWifi,b_wifiSt_rWwan,b_wifiSt_Miss,b_time_0_6,b_time_6_12,b_time_12_18,b_time_18_24,b_time_3_9,b_time_9_15,b_time_15_21,b_time_21_3,b_class_home
2917,0.993126,1.001218,1.009074,1.191534,6.683852,2.226904,0.172352,0.362358,0.96898,0.042301,0.075591,0.195483,0.733797,2.37361,0.379161,0.001198,0.001959,5.1e-05,-3.2e-05,0.022346,0.036222,-2.465719,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
2918,1.001701,1.002442,1.003139,2.462642,6.684611,0.433324,0.15528,0.001659,0.000738,0.001079,0.001556,0.002096,2.340447,5.322715,0.074794,1.4e-05,7e-06,2.7e-05,1.4e-05,1e-06,0.0,-2.257011,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True
2919,0.999134,1.000431,1.001668,2.669827,6.68461,0.231145,0.615745,0.002374,0.001164,0.001489,0.002214,0.00304,2.490411,0.04999,0.351644,2e-06,1e-05,5e-06,1.9e-05,0.0,0.0,-2.567588,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
2920,0.979149,0.980386,0.981573,2.416788,6.68461,4.642227,0.08497,0.024016,0.000863,0.023433,0.02401,0.024581,2.353236,0.537473,0.105262,,,,,,,5.010635,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True
2921,0.985409,0.986426,0.987671,2.515841,6.68461,0.378975,0.119696,0.021523,0.000834,0.020961,0.021532,0.022112,2.432699,0.71804,0.089701,,,,,,,4.962845,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
2922,0.991443,0.992548,0.993823,2.645048,6.68461,1.952995,0.140187,0.01622,0.000873,0.015649,0.016269,0.016839,2.484273,0.478195,0.095368,,,,,,,6.782192,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
2923,1.013684,1.016136,1.018357,2.132618,6.684606,5.861148,0.113851,0.012504,0.010356,0.005494,0.009022,0.016623,2.300088,6.135514,0.189913,0.0,0.0,0.0,0.0,0.0,0.0,8.703009,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
2924,1.000499,1.001285,1.002083,2.153718,6.684611,0.057788,0.200097,0.001777,0.000959,0.001108,0.001621,0.002251,2.017296,2.972785,0.102603,0.000725,0.000711,1.3e-05,4e-05,0.00634,0.006185,-2.50062,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False
2925,0.981909,0.984164,0.986241,1.503127,6.684603,2.090941,0.159264,0.02798,0.007266,0.023402,0.026395,0.030339,2.18736,3.108873,0.138619,,,,,,,10.343418,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2926,0.979226,0.980423,0.981676,2.700412,6.68461,3.264121,0.087322,0.024224,0.000837,0.023696,0.024217,0.024764,2.328298,0.438372,0.098879,,,,,,,5.241747,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
